municipality,avg_price,avg_surface,population,pop_density,size,avg_income,schiphol_distance,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,m2_price
Losser,344779.0,154.0,23362.0,237.0,9874.0,34.6,153.27092697520857,0,0,0,0,0,0,0,2238.8246753246754
Maasdriel,448639.0,144.0,26020.0,395.0,6588.0,37.3,70.85069269263238,0,0,0,0,0,0,0,3115.5486111111113
Maasgouw,344071.0,163.0,24305.0,532.0,4570.0,36.4,150.28398458859536,0,0,0,0,0,0,0,2110.865030674847
Maashorst,405092.0,145.0,58934.0,429.0,13733.0,36.4,93.53324959975899,0,0,0,0,0,0,0,2793.7379310344827
Maassluis,378651.0,109.0,35303.0,4180.0,844.0,34.7,55.1709690523993,0,0,0,0,0,0,0,3473.862385321101
Maastricht,374547.0,112.0,122734.0,2200.0,5579.0,29.5,175.39419865693424,3,0,1,1,0,1,0,3344.1696428571427
Medemblik,406510.0,144.0,46031.0,380.0,12123.0,35.8,50.92107456237826,0,0,0,0,0,0,0,2822.9861111111113
Meerssen,368487.0,157.0,18600.0,696.0,2673.0,37.3,171.87691646140533,2,1,0,0,0,1,0,2347.0509554140126
Meierijstad,435627.0,149.0,83715.0,455.0,18400.0,37.3,95.7803792154923,0,0,0,0,0,0,0,2923.6711409395975
Meppel,359845.0,114.0,35464.0,639.0,5550.0,33.8,107.4703833519562,1,0,0,1,0,0,0,3156.535087719298
Middelburg,345346.0,115.0,49956.0,1033.0,4838.0,33.7,117.8227242775965,2,0,0,0,0,2,0,3003.008695652174
Midden-Delfland,502410.0,134.0,19472.0,413.0,4719.0,42.1,49.27774450602414,0,0,0,0,0,0,0,3749.3283582089553
Midden-Drenthe,364967.0,156.0,33987.0,100.0,34062.0,35.2,135.82564828051036,1,0,0,0,0,1,0,2339.5320512820513
Midden-Groningen,307111.0,144.0,61554.0,221.0,27795.0,31.7,169.6387075284797,4,0,0,2,0,2,0,2132.715277777778
Moerdijk,375225.0,133.0,37711.0,237.0,15917.0,36.3,74.38675599629917,2,0,0,1,0,1,0,2821.2406015037595
Molenlanden,404893.0,138.0,45158.0,249.0,18157.0,39.6,48.47289765889764,1,0,0,0,0,1,0,2934.0072463768115
Montferland,357759.0,146.0,36882.0,349.0,10570.0,34.5,109.39650910995277,1,0,0,0,0,1,0,2450.404109589041
Montfoort,478504.0,132.0,13929.0,371.0,3758.0,39.8,32.680988259114734,0,0,0,0,0,0,0,3625.030303030303
Mook en Middelaar,456031.0,156.0,8043.0,463.0,1739.0,42.1,100.89465927406695,1,0,0,0,0,1,0,2923.275641025641
Neder-Betuwe,410710.0,144.0,25448.0,424.0,5999.0,35.3,72.46023720396762,3,0,0,0,0,3,0,2852.152777777778
Nederweert,391462.0,175.0,17499.0,175.0,9990.0,36.0,133.65356160541756,0,0,0,0,0,0,0,2236.925714285714
Nieuwegein,385704.0,104.0,65426.0,2794.0,2342.0,34.9,39.5546875088822,0,0,0,0,0,0,0,3708.6923076923076
Nieuwkoop,468956.0,139.0,29463.0,375.0,7846.0,40.1,16.143264855156385,0,0,0,0,0,0,0,3373.7841726618703
Nijkerk,478370.0,130.0,44975.0,649.0,6932.0,38.5,51.47582446690972,1,0,0,0,0,1,0,3679.769230769231
Nijmegen,396340.0,112.0,182480.0,3456.0,5281.0,30.3,91.36984282997139,5,0,1,0,0,4,0,3538.75
Nissewaard,335318.0,105.0,86833.0,1184.0,7331.0,34.5,62.32504099270153,0,0,0,0,0,0,0,3193.504761904762
Noardeast-Fryslân,279101.0,159.0,45812.0,121.0,37922.0,31.7,141.67636342414124,0,0,0,0,0,0,0,1755.3522012578617
Noord-Beveland,314504.0,127.0,7857.0,91.0,8600.0,37.0,106.14538642750207,0,0,0,0,0,0,0,2476.4094488188975
Noordenveld,395191.0,147.0,31591.0,159.0,19901.0,36.0,143.25418917039624,0,0,0,0,0,0,0,2688.374149659864
Noordoostpolder,330982.0,161.0,49729.0,109.0,45809.0,34.3,81.90806909984725,0,0,0,0,0,0,0,2055.7888198757764
Noordwijk,558030.0,120.0,45179.0,774.0,5834.0,40.1,18.582833392597873,0,0,0,0,0,0,0,4650.25
"Nuenen, Gerwen en Nederwetten",507646.0,151.0,24015.0,714.0,3365.0,41.3,108.0194600916607,0,0,0,0,0,0,0,3361.8940397350993
Nunspeet,466618.0,134.0,28731.0,223.0,12873.0,36.0,70.61554920567583,1,0,0,0,0,1,0,3482.223880597015
Oegstgeest,554888.0,129.0,25746.0,3530.0,729.0,47.1,23.59646026999734,0,0,0,0,0,0,0,4301.457364341085
Oirschot,445409.0,159.0,19217.0,189.0,10179.0,39.6,98.726477826759,0,0,0,0,0,0,0,2801.314465408805
Oisterwijk,548465.0,150.0,32941.0,411.0,8011.0,41.6,89.44033896039875,1,0,0,0,0,1,0,3656.4333333333334
Oldambt,265561.0,146.0,39044.0,172.0,22657.0,30.7,183.45764315302839,3,0,0,2,0,1,0,1818.9109589041095
Oldebroek,404930.0,140.0,24264.0,248.0,9766.0,34.9,82.22361966892159,1,0,0,0,0,1,0,2892.3571428571427
