code,station_name,type,geo_lat,geo_lng,municipality,station_code,traffic_count
OBD,Obdam,local_train_station,52.67805480957,4.9072222709656,Koggenland,OBD,24940.0
OT,Oisterwijk,local_train_station,51.582221984863,5.1941666603088,Oisterwijk,OT,22987.0
ODZ,Oldenzaal,local_train_station,52.30638885498,6.9347224235535,Oldenzaal,ODZ,35751.0
OST,Olst,intercity_station,52.334720611572,6.1130557060242,Olst-Wijhe,OST,27713.0
OMN,Ommen,,52.50944519043,6.4158334732056,Ommen,OMN,30033.0
OTB,Oosterbeek,local_train_station,51.994998931885,5.8400001525879,Renkum,OTB,21375.0
OP,Opheusden,local_train_station,51.9261615,5.6371145,Neder-Betuwe,OP,19389.0
O,Oss,interchange_intercity_station,51.765556335449,5.5322222709656,Oss,O,53892.0
OW,Oss West,local_train_station,51.758056640625,5.5055556297302,Oss,OW,24346.0
ODB,Oudenbosch,local_train_station,51.587776184082,4.5333333015442,Halderberge,ODB,24231.0
OVN,Overveen,local_train_station,52.391109466553,4.6061110496521,Bloemendaal,OVN,28526.0
PMR,Purmerend,interchange_local_train_station,52.50305557251,4.9536108970642,Purmerend,PMR,24471.0
PMO,Purmerend Overwhere,local_train_station,52.511390686035,4.9683332443237,Purmerend,PMO,23590.0
PMW,Purmerend Weidevenne,local_train_station,52.496590632542,4.9356293678284,Purmerend,PMW,23504.0
PT,Putten,local_train_station,52.264999389648,5.5752778053284,Putten,PT,26553.0
RAT,Raalte,local_train_station,52.391666412354,6.2775001525879,Raalte,RAT,29981.0
RVS,Ravenstein,local_train_station,51.794166564941,5.6358332633972,Oss,RVS,23607.0
RV,Reuver,local_train_station,51.28321916653,6.0789585113525,Beesel,RV,26128.0
RH,Rheden,local_train_station,52.0101,6.0314,Rheden,RH,23874.0
RHN,Rhenen,interchange_local_train_station,51.958610534668,5.5783333778381,Rhenen,RHN,26757.0
RSN,Rijssen,local_train_station,52.3122215271,6.5202779769897,Rijssen-Holten,RSN,26909.0
RSW,Rijswijk,local_train_station,52.039722442627,4.3191666603088,Rijswijk,RSW,48896.0
RB,Rilland-Bath,local_train_station,51.422779083252,4.1611108779907,Reimerswaal,RB,29066.0
RM,Roermond,interchange_intercity_station,51.193054199219,5.9941668510437,Roermond,RM,99919.0
RD,Roodeschool,local_train_station,53.421262,6.7587,Het Hogeland,RD,24545.0
RSD,Roosendaal,interchange_intercity_station,51.540279388428,4.4583334922791,Roosendaal,RSD,106574.0
RS,Rosmalen,local_train_station,51.714721679688,5.3680553436279,'s-Hertogenbosch,RS,24351.0
RTA,Rotterdam Alexander,intercity_station,51.951946258545,4.5536112785339,Rotterdam,RTA,67407.0
RTB,Rotterdam Blaak,local_train_station,51.920276641846,4.4888887405395,Rotterdam,RTB,92823.0
RTD,Rotterdam Centraal,mega_station,51.92499923706,4.468888759613,Rotterdam,RTD,253666.0
RLB,Rotterdam Lombardijen,local_train_station,51.880001068115,4.531388759613,Rotterdam,RLB,47161.0
RTN,Rotterdam Noord,local_train_station,51.942222595215,4.4816665649414,Rotterdam,RTN,28917.0
RTST,Rotterdam Stadion,,51.893890380859,4.5197219848633,Rotterdam,RTST,4757.0
RTZ,Rotterdam Zuid,local_train_station,51.904445648193,4.5102777481079,Rotterdam,RTZ,43867.0
RL,Ruurlo,local_train_station,52.0810888,6.4492656,Berkelland,RL,22908.0
SPTN,Santpoort Noord,local_train_station,52.43388748169,4.6325001716614,Velsen,SPTN,28650.0
SPTZ,Santpoort Zuid,local_train_station,52.419723510742,4.6313886642456,Velsen,SPTZ,28238.0
SSH,Sassenheim,local_train_station,52.215278,4.517222,Teylingen,SSH,41886.0
SWD,Sauwerd,local_train_station,53.29113,6.5404,Het Hogeland,SWD,45608.0
SGN,Schagen,local_train_station,52.784442901611,4.8052778244019,Schagen,SGN,31838.0
SDA,Scheemda,local_train_station,53.1655362,6.9777775,Oldambt,SDA,27829.0
SDM,Schiedam Centrum,local_train_station,51.921243812803,4.4089937210083,Schiedam,SDM,107184.0
SOG,Schin op Geul,local_train_station,50.856388092041,5.8722224235535,Voerendaal,SOG,26689.0
SN,Schinnen,local_train_station,50.939167022705,5.8744444847107,Beekdaelen,SN,18035.0
SHL,Schiphol Airport,mega_station,52.30944442749,4.7619442939758,Haarlemmermeer,SHL,267192.0
STD,Sittard,interchange_intercity_station,51.001667022705,5.8586111068726,Sittard-Geleen,STD,98074.0
SDT,Sliedrecht,local_train_station,51.829723358154,4.7783331871033,Sliedrecht,SDT,41053.0
SDTB,Sliedrecht Baanhoek,local_train_station,51.829722,4.743333,Sliedrecht,SDTB,40972.0
SK,Sneek,interchange_local_train_station,53.0328688,5.6523969,Súdwest-Fryslân,SK,23730.0
SKND,Sneek Noord,local_train_station,53.0409319,5.6631808,Súdwest-Fryslân,SKND,21689.0
ST,Soest,interchange_local_train_station,52.173332214355,5.3099999427795,Soest,ST,21801.0
STZ,Soest Zuid,local_train_station,52.165279388428,5.3030557632446,Soest,STZ,21567.0
