municipality,avg_price,avg_surface,population,pop_density,size,avg_income,unemp_rate,net_labor_participation,nearest_city,distance_to_nearest_city,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,total_traffic,m2_price
Houten,525070.0,124.0,50581.0,921.0,5490.0,40.6,2.8,76.0,Utrecht,10.251492496840836,2,0,0,1,0,1,0,123198,4234.435483870968
Huizen,531067.0,118.0,41252.0,2609.0,1581.0,39.3,3.3,71.4,Utrecht,23.52279431462882,0,0,0,0,0,0,0,0,4500.567796610169
Hulst,287857.0,144.0,27596.0,137.0,20126.0,35.1,2.8,68.9,Breda,55.822217374649235,0,0,0,0,0,0,0,0,1999.0069444444443
IJsselstein,475722.0,116.0,33492.0,1594.0,2101.0,39.2,3.2,75.8,Utrecht,9.46388626846414,0,0,0,0,0,0,0,0,4101.051724137931
Kaag en Braassem,487753.0,129.0,28573.0,453.0,6313.0,39.9,2.8,76.5,The Hague,26.156722932668846,0,0,0,0,0,0,0,0,3781.031007751938
Kampen,353228.0,127.0,55614.0,394.0,14123.0,33.9,3.0,76.4,Amsterdam,72.84440683332225,2,0,0,0,0,2,0,52848,2781.3228346456694
Kapelle,374884.0,137.0,13051.0,351.0,3713.0,36.6,2.4,76.3,Breda,56.247127698368324,1,0,0,0,0,1,0,29488,2736.3795620437954
Katwijk,467919.0,107.0,66607.0,2685.0,2481.0,36.8,2.8,77.0,The Hague,15.727617574885386,0,0,0,0,0,0,0,0,4373.07476635514
Kerkrade,242591.0,128.0,45620.0,2082.0,2191.0,29.7,3.8,63.9,Maastricht,25.380133770770964,4,0,0,1,0,3,0,89310,1895.2421875
Koggenland,399324.0,148.0,23509.0,293.0,8026.0,38.0,2.7,75.7,Amsterdam,30.853882448819533,1,0,0,0,0,1,0,24940,2698.135135135135
Krimpen aan den IJssel,425298.0,114.0,29504.0,3845.0,767.0,36.2,3.2,73.6,Rotterdam,8.412069221974141,0,0,0,0,0,0,0,0,3730.684210526316
Krimpenerwaard,420436.0,129.0,57700.0,389.0,14832.0,37.3,2.9,75.1,Rotterdam,18.115493206451312,0,0,0,0,0,0,0,0,3259.1937984496126
Laarbeek,434148.0,157.0,23260.0,420.0,5535.0,36.4,2.7,74.3,Eindhoven,15.829177196494205,0,0,0,0,0,0,0,0,2765.2738853503183
Land van Cuijk,395464.0,151.0,91423.0,268.0,34126.0,36.1,2.8,74.2,Eindhoven,37.70260997955193,3,0,0,1,0,2,0,99606,2618.9668874172185
Landgraaf,271284.0,133.0,37175.0,1512.0,2458.0,32.2,3.5,66.2,Maastricht,24.684725621727313,1,0,0,1,0,0,0,39173,2039.7293233082708
Landsmeer,634565.0,124.0,11705.0,522.0,2244.0,41.8,3.1,73.2,Amsterdam,9.330804439122392,0,0,0,0,0,0,0,0,5117.459677419355
Lansingerland,525887.0,130.0,64754.0,1216.0,5327.0,43.4,2.9,77.8,Rotterdam,9.164852121403976,0,0,0,0,0,0,0,0,4045.2846153846153
Laren,1050433.0,157.0,11712.0,944.0,1241.0,62.9,3.1,70.0,Utrecht,18.489268366046154,0,0,0,0,0,0,0,0,6690.656050955414
Leeuwarden,294731.0,114.0,127073.0,535.0,23755.0,30.3,4.5,71.8,Groningen,51.5456328580242,4,0,1,0,0,3,0,199873,2585.3596491228072
Leiden,454317.0,94.0,127089.0,5816.0,2185.0,32.2,4.1,74.3,The Hague,15.691292132021692,2,0,1,0,0,1,0,244763,4833.159574468085
Leiderdorp,460174.0,112.0,27657.0,2406.0,1150.0,38.4,3.1,74.6,The Hague,19.011545225523534,0,0,0,0,0,0,0,0,4108.696428571428
Leidschendam-Voorburg,446942.0,104.0,77753.0,2384.0,3261.0,39.0,3.5,72.2,The Hague,8.609122161053154,3,0,0,1,0,2,0,179413,4297.5192307692305
